duns,ofo_status,ofo_expiry,ofo_issue,certify_status,certify_expiry,certify_issue,status_match,issue_match,expiry_match
1899546,graduated,6/9/2018,6/8/2009,,,,,,
2661062,active,1/21/2025,1/21/2016,,,,,,
4618565,active,5/16/2021,5/16/2012,,,,,,
5806133,graduated,1/3/2018,12/29/2008,,,,,,
5823458,graduated,6/9/2018,6/8/2009,,,,,,
6617604,graduated,7/22/2018,7/22/2009,,,,,,
6644103,graduated,8/31/2018,8/31/2009,,,,,,
6732812,active,4/21/2025,4/21/2016,,,,,,
8304518,graduated,9/25/2018,9/25/2009,,,,,,
8676090,graduated,7/28/2018,7/28/2009,,,,,,
9227576,terminated,5/7/2018,3/25/2016,,,,,,
9838892,graduated,11/27/2018,11/27/2009,,,,,,
10915622,graduated,3/31/2018,3/30/2009,,,,,,
11600477,withdrawn,6/22/2018,2/25/2015,,,,,,
11787640,graduated,6/30/2018,6/30/2009,,,,,,
11916215,graduated,8/21/2018,8/21/2009,,,,,,
12711862,graduated,6/9/2018,6/8/2009,,,,,,
13298395,terminated,12/14/2017,1/31/2011,,,,,,
14015750,active,11/8/2019,11/8/2010,,,,,,
14300034,graduated,11/14/2018,11/14/2009,,,,,,
14342376,graduated,10/8/2018,10/8/2009,,,,,,
14435882,graduated,3/7/2018,3/6/2009,,,,,,
14831073,active,12/20/2020,12/20/2011,,,,,,
15035656,terminated,1/10/2018,4/12/2013,,,,,,
15040063,active,7/25/2020,7/25/2011,,,,,,
15195890,graduated,11/4/2018,11/4/2009,,,,,,
15435345,graduated,2/8/2019,2/8/2010,,,,,,
16555777,terminated,5/11/2018,8/26/2011,,,,,,
16933927,graduated,5/28/2018,5/26/2009,,,,,,
17160073,graduated,3/27/2018,3/26/2009,,,,,,
17442987,active,3/29/2021,3/29/2012,,,,,,
17743803,graduated,2/26/2018,2/25/2009,,,,,,
18157151,graduated,3/31/2018,3/30/2009,,,,,,
18792159,terminated,12/14/2017,10/13/2016,,,,,,
19115119,graduated,7/10/2018,7/10/2009,,,,,,
21838933,graduated,7/10/2018,7/10/2009,,,,,,
22342286,graduated,7/28/2018,7/28/2009,,,,,,
22665041,active,3/28/2024,3/28/2015,,,,,,
22878590,withdrawn,11/17/2017,8/13/2014,,,,,,
23153500,graduated,9/10/2018,9/10/2009,,,,,,
23536833,active,7/31/2024,7/31/2015,,,,,,
24128542,graduated,9/17/2018,9/17/2009,,,,,,
24292452,graduated,10/22/2018,10/22/2009,,,,,,
24693306,graduated,6/18/2018,6/18/2009,,,,,,
25275721,graduated,11/14/2018,11/14/2009,,,,,,
25619798,withdrawn,6/4/2018,1/24/2011,,,,,,
27645667,withdrawn,8/16/2018,12/30/2010,,,,,,
28537846,active,12/6/2024,12/6/2015,,,,,,
28965684,graduated,2/26/2018,2/25/2009,,,,,,
29116285,withdrawn,6/4/2018,2/17/2017,,,,,,
29790073,graduated,3/27/2018,3/26/2009,,,,,,
30990136,active,1/2/2023,1/2/2014,,,,,,
31283075,graduated,9/2/2018,9/2/2009,,,,,,
31472454,withdrawn,2/2/2018,5/3/2011,,,,,,
32085461,active,9/26/2020,9/26/2011,,,,,,
32462500,withdrawn,11/7/2017,3/25/2011,,,,,,
32543444,graduated,7/10/2018,7/10/2009,,,,,,
32609294,withdrawn,8/22/2018,9/14/2011,,,,,,
38759593,graduated,11/4/2018,11/4/2009,,,,,,
38842822,withdrawn,8/22/2018,7/31/2015,,,,,,
39274555,graduated,8/11/2018,8/11/2009,,,,,,
43675615,graduated,11/4/2018,11/4/2009,,,,,,
45262088,withdrawn,9/7/2017,9/30/2016,,,,,,
47097261,graduated,6/30/2018,6/30/2009,,,,,,
47949350,terminated,9/14/2018,8/6/2015,,,,,,
48040690,graduated,7/28/2018,7/28/2009,,,,,,
48461215,active,2/12/2025,2/12/2016,,,,,,
50375315,graduated,2/8/2019,2/8/2010,,,,,,
52467805,active,1/21/2020,1/21/2011,,,,,,
53390129,active,2/6/2021,2/6/2012,,,,,,
56580236,withdrawn,5/21/2018,3/22/2010,,,,,,
65092322,graduated,9/17/2018,9/17/2009,,,,,,
69155641,graduated,8/21/2018,8/21/2009,,,,,,
72381622,graduated,6/18/2018,6/18/2009,,,,,,
73195716,graduated,9/17/2018,9/17/2009,,,,,,
73744471,graduated,10/8/2018,10/8/2009,,,,,,
75162862,graduated,9/25/2018,9/25/2009,,,,,,
75429501,graduated,9/17/2018,9/17/2009,,,,,,
78205184,graduated,6/30/2018,6/30/2009,,,,,,
78352485,active,3/22/2022,3/22/2013,,,,,,
78358775,withdrawn,2/1/2018,11/29/2015,,,,,,
78358786,active,7/26/2022,7/26/2013,,,,,,
78394434,graduated,10/29/2018,10/29/2009,,,,,,
78404731,withdrawn,11/3/2017,7/11/2012,,,,,,
78419191,withdrawn,2/2/2018,10/4/2015,,,,,,
78455900,withdrawn,10/27/2017,6/19/2016,,,,,,
78477543,withdrawn,5/21/2018,12/24/2014,,,,,,
78539671,early_graduated,8/16/2018,1/31/2014,,,,,,
78542803,active,4/21/2025,4/21/2016,,,,,,
78647636,active,5/9/2022,5/9/2013,,,,,,
78850490,active,1/25/2025,1/25/2016,,,,,,
79147813,withdrawn,8/22/2018,1/14/2016,,,,,,
79539133,active,10/12/2025,10/12/2016,,,,,,
79712936,graduated,7/22/2018,7/22/2009,,,,,,
81513736,graduated,9/21/2018,9/21/2009,,,,,,
83703384,graduated,8/19/2018,8/19/2009,,,,,,
83730502,graduated,3/7/2018,3/6/2009,,,,,,
84548148,graduated,6/18/2018,6/18/2009,,,,,,
84587299,graduated,6/9/2018,6/8/2009,,,,,,
85246945,active,3/9/2019,3/9/2010,,,,,,
89408913,graduated,9/30/2018,9/30/2009,,,,,,
90555640,graduated,6/30/2018,6/30/2009,,,,,,
92233600,graduated,7/2/2018,7/2/2009,,,,,,
93641538,graduated,8/11/2018,8/11/2009,,,,,,
93834476,terminated,5/7/2018,9/1/2010,,,,,,
98222201,graduated,8/11/2018,8/11/2009,,,,,,
100677652,withdrawn,8/22/2018,3/6/2014,,,,,,
102689585,graduated,11/14/2018,11/14/2009,,,,,,
102807984,graduated,10/8/2018,10/8/2009,,,,,,
103083684,graduated,10/22/2018,10/22/2009,,,,,,
103898974,active,4/18/2022,4/18/2013,,,,,,
104379065,graduated,12/30/2017,12/29/2008,,,,,,
104464206,graduated,3/31/2018,3/30/2009,,,,,,
105942010,graduated,1/10/2018,1/9/2009,,,,,,
107262201,graduated,9/30/2018,9/30/2009,,,,,,
110340937,graduated,7/10/2018,7/10/2009,,,,,,
110505125,withdrawn,8/22/2018,4/8/2016,,,,,,
111302063,graduated,7/24/2018,7/23/2009,,,,,,
113415207,graduated,3/7/2018,3/6/2009,,,,,,
114862183,graduated,7/31/2018,7/30/2009,,,,,,
118125447,graduated,7/10/2018,7/10/2009,,,,,,
118536023,graduated,10/22/2018,10/22/2009,,,,,,
119165335,graduated,8/11/2018,8/11/2009,,,,,,
119472616,graduated,3/31/2018,3/30/2009,,,,,,
120668962,withdrawn,12/22/2017,12/6/2012,,,,,,
120815100,terminated,12/18/2017,1/21/2009,,,,,,
121556096,active,3/23/2024,3/23/2015,,,,,,
122154771,graduated,7/22/2018,7/22/2009,,,,,,
122826162,graduated,6/18/2018,6/18/2009,,,,,,
124727376,graduated,9/21/2018,9/21/2009,,,,,,
125639208,graduated,7/10/2018,7/10/2009,,,,,,
125831631,graduated,9/17/2018,9/17/2009,,,,,,
126601231,graduated,11/4/2018,11/4/2009,,,,,,
126625560,withdrawn,6/4/2018,10/13/2009,,,,,,
126632293,graduated,7/17/2018,7/17/2009,,,,,,
126681084,graduated,3/27/2018,3/26/2009,,,,,,
126715452,active,9/19/2024,6/19/2015,,,,,,
126927677,graduated,3/31/2018,3/30/2009,,,,,,
127515166,graduated,1/2/2018,12/29/2008,,,,,,
127865447,graduated,11/4/2018,11/4/2009,,,,,,
127928757,graduated,10/22/2018,10/22/2009,,,,,,
128132094,graduated,7/28/2018,7/28/2009,,,,,,
129737958,graduated,11/4/2018,11/4/2009,,,,,,
129845447,graduated,7/22/2018,7/22/2009,,,,,,
130510308,graduated,11/4/2018,11/4/2009,,,,,,
130695385,graduated,3/13/2018,3/12/2009,,,,,,
131200003,graduated,9/2/2018,9/2/2009,,,,,,
131622347,active,5/21/2021,5/21/2012,,,,,,
132043147,graduated,3/15/2018,3/12/2009,,,,,,
132202990,graduated,6/18/2018,6/18/2009,,,,,,
133120332,graduated,11/4/2018,11/4/2009,,,,,,
133129044,active,9/30/2025,9/30/2016,,,,,,
133297288,graduated,11/14/2018,11/14/2009,,,,,,
134279558,withdrawn,6/6/2018,1/3/2012,,,,,,
134818173,withdrawn,5/21/2018,12/12/2012,,,,,,
135091150,withdrawn,11/9/2017,7/22/2010,,,,,,
135273816,graduated,9/24/2017,9/24/2008,,,,,,
135731243,graduated,7/30/2018,7/30/2009,,,,,,
137339888,active,3/25/2019,3/25/2010,,,,,,
138160788,withdrawn,8/17/2018,3/23/2012,,,,,,
138471466,graduated,6/30/2018,6/30/2009,,,,,,
140122321,graduated,7/25/2018,7/23/2009,,,,,,
140243309,graduated,2/8/2019,2/8/2010,,,,,,
140613113,graduated,4/8/2018,4/7/2009,,,,,,
141081575,graduated,9/17/2018,9/17/2009,,,,,,
141624663,graduated,7/30/2018,7/30/2009,,,,,,
141692413,graduated,3/7/2018,3/6/2009,,,,,,
141723929,graduated,2/5/2018,2/5/2009,,,,,,
141938386,graduated,3/27/2018,3/26/2009,,,,,,
141948633,graduated,5/29/2018,5/29/2009,,,,,,
142232441,graduated,1/8/2018,1/7/2009,,,,,,
142419048,graduated,9/17/2018,9/17/2009,,,,,,
142540058,withdrawn,9/11/2017,12/9/2008,,,,,,
142544837,active,3/7/2018,8/3/2012,,,,,,
143188600,active,3/4/2019,3/4/2010,,,,,,
143419641,withdrawn,2/2/2018,8/21/2009,,,,,,
144812240,graduated,2/26/2018,2/25/2009,,,,,,
145207929,graduated,4/3/2018,4/2/2009,,,,,,
145452954,graduated,8/21/2018,8/21/2009,,,,,,
145886813,graduated,6/30/2018,6/30/2009,,,,,,
146123901,active,3/4/2019,3/4/2010,,,,,,
146479907,graduated,3/31/2018,3/30/2009,,,,,,
146810614,withdrawn,9/7/2017,4/13/2012,,,,,,
147079011,active,3/19/2022,3/19/2013,,,,,,
148783660,withdrawn,5/21/2018,6/19/2016,,,,,,
149449675,graduated,4/15/2018,4/14/2009,,,,,,
149476587,active,2/7/2025,2/7/2016,,,,,,
150150386,graduated,7/31/2018,7/31/2009,,,,,,
150760846,graduated,3/31/2018,3/30/2009,,,,,,
152265885,graduated,7/22/2018,7/22/2009,,,,,,
152734229,graduated,6/9/2018,6/8/2009,,,,,,
152970724,graduated,9/17/2018,9/17/2009,,,,,,
153476226,graduated,8/11/2018,8/11/2009,,,,,,
