code,industry_title,size_dollars_mm,size_employees
111110,Soybean Farming,$0.75 ,
111120,Oilseed (except Soybean) Farming,$0.75 ,
111130,Dry Pea and Bean Farming,$0.75 ,
111140,Wheat Farming,$0.75 ,
111150,Corn Farming,$0.75 ,
111160,Rice Farming,$0.75 ,
111191,Oilseed and Grain Combination Farming,$0.75 ,
111199,All Other Grain Farming,$0.75 ,
111211,Potato Farming,$0.75 ,
111219,Other Vegetable (except Potato) and Melon Farming,$0.75 ,
111310,Orange Groves,$0.75 ,
111320,Citrus (except Orange) Groves,$0.75 ,
111331,Apple Orchards,$0.75 ,
111332,Grape Vineyards,$0.75 ,
111333,Strawberry Farming,$0.75 ,
111334,Berry (except Strawberry) Farming,$0.75 ,
111335,Tree Nut Farming,$0.75 ,
111336,Fruit and Tree Nut Combination Farming,$0.75 ,
111339,Other Noncitrus Fruit Farming,$0.75 ,
111411,Mushroom Production,$0.75 ,
111419,Other Food Crops Grown Under Cover,$0.75 ,
111421,Nursery and Tree Production,$0.75 ,
111422,Floriculture Production,$0.75 ,
111910,Tobacco Farming,$0.75 ,
111920,Cotton Farming,$0.75 ,
111930,Sugarcane Farming,$0.75 ,
111940,Hay Farming,$0.75 ,
111991,Sugar Beet Farming,$0.75 ,
111992,Peanut Farming,$0.75 ,
111998,All Other Miscellaneous Crop Farming,$0.75 ,
112111,Beef Cattle Ranching and Farming,$0.75 ,
112112,Cattle Feedlots,$7.50 ,
112120,Dairy Cattle and Milk Production,$0.75 ,
112210,Hog and Pig Farming,$0.75 ,
112310,Chicken Egg Production,$15.00 ,
112320,Broilers and Other Meat Type Chicken Production,$0.75 ,
112330,Turkey Production,$0.75 ,
112340,Poultry Hatcheries,$0.75 ,
112390,Other Poultry Production,$0.75 ,
112410,Sheep Farming,$0.75 ,
112420,Goat Farming,$0.75 ,
112511,Finfish Farming and Fish Hatcheries,$0.75 ,
112512,Shellfish Farming,$0.75 ,
112519,Other Aquaculture,$0.75 ,
112910,Apiculture,$0.75 ,
112920,Horse and Other Equine Production,$0.75 ,
112930,Fur-Bearing Animal and Rabbit Production,$0.75 ,
112990,All Other Animal Production,$0.75 ,
113110,Timber Tract Operations,$11.00 ,
113210,Forest Nurseries and Gathering of Forest Products,$11.00 ,
113310,Logging,,500
114111,Finfish Fishing,$20.50 ,
114112,Shellfish Fishing,$5.50 ,
114119,Other Marine Fishing,$7.50 ,
114210,Hunting and Trapping,$5.50 ,
115111,Cotton Ginning,$11.00 ,
115112,"Soil Preparation, Planting, and Cultivating",$7.50 ,
115113,"Crop Harvesting, Primarily by Machine",$7.50 ,
115114,Postharvest Crop Activities (except Cotton Ginning),$27.50 ,
115115,Farm Labor Contractors and Crew Leaders,$15.00 ,
115116,Farm Management Services,$7.50 ,
115210,Support Activities for Animal Production,$7.50 ,
115310,Support Activities for Forestry,$7.50 ,
211120,Crude Petroleum Extraction,,"1,250"
211130,Natural Gas Extraction,,"1,250"
212111,Bituminous Coal and Lignite Surface Mining,,"1,250"
212112,Bituminous Coal Underground Mining,,"1,500"
212113,Anthracite Mining,,250
212210,Iron Ore Mining,,750
212221,Gold Ore Mining,,"1,500"
212222,Silver Ore Mining,,250
212230,"Copper, Nickel, Lead, and Zinc Mining",,750
212291,Uranium-Radium-Vanadium Ore Mining,,250
212299,All Other Metal Ore Mining,,750
212311,Dimension Stone Mining and Quarrying,,500
212312,Crushed and Broken Limestone Mining and Quarrying,,750
212313,Crushed and Broken Granite Mining and Quarrying,,750
212319,Other Crushed and Broken Stone Mining and Quarrying,,500
212321,Construction Sand and Gravel Mining,,500
212322,Industrial Sand Mining,,500
212324,Kaolin and Ball Clay Mining,,750
212325,Clay and Ceramic and Refractory Minerals Mining,,500
212391,"Potash, Soda, and Borate Mineral Mining",,750
212392,Phosphate Rock Mining,,"1,000"
212393,Other Chemical and Fertilizer Mineral Mining,,500
212399,All Other Nonmetallic Mineral Mining,,500
213111,Drilling Oil and Gas Wells,,"1,000"
213112,Support Activities for Oil and Gas Operations,$38.50 ,
213113,Support Activities for Coal Mining,$20.50 ,
213114,Support Activities for Metal Mining,$20.50 ,
213115,Support Activities for Nonmetallic Minerals (except Fuels),$7.50 ,
221111,Hydroelectric Power Generation,,500
221112,Fossil Fuel Electric Power Generation,,750
221113,Nuclear Electric Power Generation,,750
221114,Solar Electric Power Generation,,250
221115,Wind Electric Power Generation,,250
221116,Geothermal Electric Power Generation,,250
221117,Biomass Electric Power Generation,,250
221118,Other Electric Power Generation,,250
221121,Electric Bulk Power Transmission and Control,,500
221122,Electric Power Distribution,,"1,000"
221210,Natural Gas Distribution,,"1,000"
221310,Water Supply and Irrigation Systems,$27.50 ,
221320,Sewage Treatment Facilities,$20.50 ,
221330,Steam and Air-Conditioning Supply,$15.00 ,
236115,New Single-family Housing Construction (Except For-Sale Builders),$36.50 ,
236116,New Multifamily Housing Construction (except For-Sale Builders),$36.50 ,
236117,New Housing For-Sale Builders,$36.50 ,
236118,Residential Remodelers,$36.50 ,
236210,Industrial Building Construction,$36.50 ,
236220,Commercial and Institutional Building Construction,$36.50 ,
237110,Water and Sewer Line and Related Structures Construction,$36.50 ,
237120,Oil and Gas Pipeline and Related Structures Construction,$36.50 ,
237130,Power and Communication Line and Related Structures Construction,$36.50 ,
237210,Land Subdivision,$27.50 ,
237310,"Highway, Street, and Bridge Construction",$36.50 ,
237990,Other Heavy and Civil Engineering Construction,$36.50 ,
238110,Poured Concrete Foundation and Structure Contractors,$15.00 ,
238120,Structural Steel and Precast Concrete Contractors,$15.00 ,
238130,Framing Contractors,$15.00 ,
238140,Masonry Contractors,$15.00 ,
238150,Glass and Glazing Contractors,$15.00 ,
238160,Roofing Contractors,$15.00 ,
238170,Siding Contractors,$15.00 ,
238190,"Other Foundation, Structure, and Building Exterior Contractors",$15.00 ,
238210,Electrical Contractors and Other Wiring Installation Contractors,$15.00 ,
238220,"Plumbing, Heating, and Air-Conditioning Contractors",$15.00 ,
238290,Other Building Equipment Contractors,$15.00 ,
238310,Drywall and Insulation Contractors,$15.00 ,
238320,Painting and Wall Covering Contractors,$15.00 ,
238330,Flooring Contractors,$15.00 ,
238340,Tile and Terrazzo Contractors,$15.00 ,
238350,Finish Carpentry Contractors,$15.00 ,
238390,Other Building Finishing Contractors,$15.00 ,
238910,Site Preparation Contractors,$15.00 ,
238990,All Other Specialty Trade Contractors,$15.00 ,
311111,Dog and Cat Food Manufacturing,,"1,000"
311119,Other Animal Food Manufacturing,,500
311211,Flour Milling,,"1,000"
311212,Rice Milling,,500
311213,Malt Manufacturing,,500
311221,Wet Corn Milling,,"1,250"
311224,Soybean and Other Oilseed Processing,,"1,000"
311225,Fats and Oils Refining and Blending,,"1,000"
311230,Breakfast Cereal Manufacturing,,"1,000"
311313,Beet Sugar Manufacturing,,750
311314,Cane Sugar Manufacturing,,"1,000"
311340,Nonchocolate Confectionery Manufacturing,,"1,000"
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,,"1,250"
311352,Confectionery Manufacturing from Purchased Chocolate,,"1,000"
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",,"1,000"
311412,Frozen Specialty Food Manufacturing,,"1,250"
311421,Fruit and Vegetable Canning3,,"10,003"
311422,Specialty Canning,,"1,250"
311423,Dried and Dehydrated Food Manufacturing,,750
311511,Fluid Milk Manufacturing,,"1,000"
311512,Creamery Butter Manufacturing,,750
311513,Cheese Manufacturing,,"1,250"
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",,750
311520,Ice Cream and Frozen Dessert Manufacturing,,"1,000"
311611,Animal (except Poultry) Slaughtering,,"1,000"
311612,Meat Processed from Carcasses,,"1,000"
311613,Rendering and Meat Byproduct Processing,,750
311615,Poultry Processing,,"1,250"
311710,Seafood Product Preparation and Packaging,,750
311811,Retail Bakeries,,500
311812,Commercial Bakeries,,"1,000"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",,750
311821,Cookie and Cracker Manufacturing,,"1,250"
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",,750
311830,Tortilla Manufacturing,,"1,250"
311911,Roasted Nuts and Peanut Butter Manufacturing,,750
311919,Other Snack Food Manufacturing,,"1,250"
311920,Coffee and Tea Manufacturing,,750
311930,Flavoring Syrup and Concentrate Manufacturing,,"1,000"
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",,750
311942,Spice and Extract Manufacturing,,500
311991,Perishable Prepared Food Manufacturing,,500
311999,All Other Miscellaneous Food Manufacturing,,500
312111,Soft Drink Manufacturing,,"1,250"
312112,Bottled Water Manufacturing,,"1,000"
312113,Ice Manufacturing,,750
312120,Breweries,,"1,250"
312130,Wineries,,"1,000"
312140,Distilleries,,"1,000"
312230,Tobacco Manufacturing,,"1,500"
313110,"Fiber, Yarn, and Thread Mills",,"1,250"
313210,Broadwoven Fabric Mills,,"1,000"
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,,500
313230,Nonwoven Fabric Mills,,750
