AGENCY NAME ,AGENCY ABBREVIATION ,AGENCY FPDS NAME (AGENCY OFFICES) ,CERTIFY AGENCY UNIQUE ID ,CERTIFY AGENCY NAME ,AGENCY ABBREVIATION ,ADD TO CERTIFY AGENCY TABLE? 
Energy Research & Development Admin.,ERDA ,Department of Energy (Energy Research & Development Admin.),,,,ADD NEW
Department of Agriculture,USDA ,Extension Service,,,,ADD NEW
U. S. Soldiers and Airmens Home,,U. S. Soldiers And Airmens Home,,,,ADD NEW
U. S. Trade & Development Ageny,,U. S. Trade & Development Agency,,,,ADD NEW
United States Holocaust Memorial Museum,,United States Holocaust Memorial Museum,,,,ADD NEW
Community Service Administration,CSA ,,,,,ADD NEW
Community Services Administration,CSA ,,,,,ADD NEW
Federal Home Loan Bank,FHLB ,,,,,ADD NEW
HCD - D.C. Government,HCDDC ,,,,,ADD NEW
Indian Claim Commission,ICC ,,,,,ADD NEW
Interstate Commerce Commission,ICC ,,,,,ADD NEW
Pennsylvania Avenue Development Corp.,PADC ,,,,,ADD NEW
Redevelopment Land Authority (DC),RLADC ,,,,,ADD NEW
