AGENCY NAME,AGENCY ABBREVIATION,AGENCY FPDS NAME (AGENCY OFFICES),CERTIFY AGENCY UNIQUE ID,CERTIFY AGENCY NAME,AGENCY ABBREVIATION,ADD TO CERTIFY AGENCY TABLE?
Agency for International Development,AID,Agency For International Development,9,Agency for International Development,USAID,
Department of Health and Human Services,HHS,Agency For Toxic Substances And Disease Registry,10,Agency for Toxic Substances and Disease Registry,ATSDR,
Department of Agriculture,USDA,Agricultural Marketing Service,12,Agricultural Marketing Service,AMS,
Department of Agriculture,USDA,Agricultural Research Service,13,Agricultural Research Service,ARS,
Department of Agriculture,USDA,Agricultural Stabilization And Conservation Service,14,Agriculture Department,USDA,
Department of Health and Human Services,HHS,"Alcohol, Drug Abuse And Mental Health Administration",197,Health and Human Services Department,HHS,
American Revolution Bicentennial Admin.,ABA,American Battle Monuments Commission,21,American Battle Monuments Commission,ABMC,
Department of Defense,DOD,American Forces Information Service,90,Defense Department,DOD,
Department of Agriculture,USDA,Animal And Plant Health Inspection Service,23,Animal and Plant Health Inspection Service,APHIS,
Department of Labor,LABOR,Benefits Review Board,237,Labor Department,DOL,
Board for International Broadcasting,,Board For International Broadcasting,221,International Broadcasting Board,IBB,
Department of Treasury,TREASURY,"Bureau of Alcohol, Tobacco And Firearms",20,"Alcohol, Tobacco, Firearms, and Explosives Bureau",ATF,
Department of Commerce,COMMERCE,Bureau of Economic Analysis,102,Economic Analysis Bureau,EAB,
Department of Treasury,TREASURY,Bureau of Engraving And Printing,122,Engraving and Printing Bureau,BEP,
Department of the Interior,INTERIO,Bureau of Indian Affairs,205,Indian Affairs Bureau,BIA,
Department of Labor,LABOR,Bureau of International Labor Affairs,237,Labor Department,DOL,
Department of Labor,LABOR,Bureau of Labor Statistics,238,Labor Statistics Bureau,BLS,
Department of the Interior,INTERIO,Bureau of Land Management,240,Land Management Bureau,BLM,
Department of the Interior,INTERIO,Bureau of Mines,253,Mines Bureau,USBM,
Department of the Interior,INTERIO,Bureau of Reclamation,371,Reclamation Bureau,BOR,
Department of Commerce,COMMERCE,Bureau of The Census,41,Census Bureau,USBC,
Department of Treasury,TREASURY,Bureau of The Public Debt,367,Public Debt Bureau,BPD,
Department of Health and Human Services,HHS,Centers For Disease Control,43,Centers for Disease Control and Prevention,CDC,
Commission on Civil Rights,,Commission On Civil Rights,50,Civil Rights Commission,CRC,
Department of Agriculture,USDA,Commodity Credit Corporation,65,Commodity Credit Corporation,CCC,
Commodity Futures Trading Commission,CFTC,Commodity Futures Trading Commission,66,Commodity Futures Trading Commission,CFTC,
Consumer Products Safety Commission,CPSC,Consumer Product Safety Commission,73,Consumer Product Safety Commission,CPSC,
Corporation For National Community Servi,,Corporation For National And Community Service,79,Corporation for National and Community Service,CORP/CNCS,
Department of Defense,DOD,Defense Advanced Research Projects Agency,90,Defense Department,DOD,
Department of Defense,DOD,Defense Commissionary Agency,90,Defense Department,DOD,
Department of Defense,DOD,Defense Information Systems Agency,91,Defense Information Systems Agency,DISA,
Defense Logistics Agency,DLA,Defense Logistics Agency,94,Defense Logistics Agency,DLA,
Defense Mapping Agency,DMA,Defense Mapping Agency,95,Defense Mapping Agency,DMA,
U.S. Nuclear Regulatory Commission,NRC,Defense Nuclear Agency,325,Nuclear Regulatory Commission,NRC,
Defense Nuclear Facilities Safety Board,,Defense Nuclear Facilities Safety Board,96,Defense Nuclear Facilities Safety Board,DNFSB,
Department of Agriculture,USDA,Department of Agriculture,14,Agriculture Department,USDA,
Department of Commerce,COMMERCE,Department of Commerce,52,Commerce Department,DOC,
Department of Defense,DOD,Department of Defense,90,Defense Department,DOD,
Department of Education,DED,Department of Education,107,Education Department,ED,
Department of Energy,DOE,Department of Energy,116,Energy Department,DOE,
Energy Research & Development Admin.,ERDA,Department of Energy (Energy Research & Development Admin.),,,,ADD NEW
Department of Health and Human Services,HHS,Department of Health And Human Services,197,Health and Human Services Department,HHS,
Department of Homeland Security,,Department of Homeland Security,202,Homeland Security Department,DHS,
Dept. of Housing and Urban Development,HUD,Department of Housing And Urban Development,203,Housing and Urban Development Department,HUD,
Department of Justice,JUSTICE,Department of Justice,234,Justice Department,DOJ,
Department of Labor,LABOR,Department of Labor,237,Labor Department,DOL,
Department of State,STATE,Department of State,399,State Department,DOS,
Department of the Air Force,USAF,"Department of The Air Force (Headquarters, Usaf)",15,Air Force Department,USAF,
Department of the Interior,INTERIO,Department of the Interior,218,Interior Department,DOI,
