SBA OFFICE CODE,STATE,e8(a) SBA OFFICE,CERTIFY DISTRICT OFFICE EQUIVALENT
0100,MA,BOSTON REGIONAL OFFICE,Massachusetts
0101,MA,MASSACHUSETTS  DISTRICT OFFICE,Massachusetts
0130,MA,SPRINGFIELD BRANCH OFFICE,Massachusetts
0150,VT,VERMONT DISTRICT OFFICE,Vermont
0156,CT,CONNECTICUT  DISTRICT OFFICE,Connecticut
0165,RI,RHODE ISLAND DISTRICT OFFICE,Rhode Island
0172,ME,MAINE DISTRICT OFFICE,Maine
0189,NH,NEW HAMPSHIRE  DISTRICT OFFICE,N Hampshire
0200,NY,NEW YORK   REGIONAL OFFICE,New York
0202,NY,NEW YORK  DISTRICT OFFICE,New York
0206,NY,ELMIRA BRANCH OFFICE,New York
0219,NY,ROCHESTER BRANCH OFFICE,New York
0222,NY,ALBANY,New York
0228,NY,NEW YORK CITY HOME LOAN SERVICE CENTER,New York
0235,NY,MELVILLE BRANCH OFFICE,New York
0248,NY,SYRACUSE DISTRICT OFFICE,New York
0252,PR,PUERTO RICO AND USVI DISTRICT OFFICE,PR & USVI
0296,NY,BUFFALO DISTRICT OFFICE,Buffalo
0299,NJ,NEW JERSEY  DISTRICT OFFICE,New Jersey
0300,PA,PHILADELPHIA   REGIONAL OFFICE,Philadelphia
0303,PA,PHILADELPHIA DISTRICT OFFICE,Philadelphia
0304,VA,RICHMOND DISTRICT OFFICE,Richmond
0316,PA,HARRISBURG BRANCH OFFICE,Philadelphia
0318,PA,WILKES BARRE BRANCH OFFICE,Philadelphia
0325,WV,CHARLESTON BRANCH OFFICE,West Virginia
0341,DE,DELAWARE DISTRICT OFFICE,Delaware
0350,VA,NATIONAL LIQUIDATION AND GUARANTY PURCHASE CENTER,Richmond
0353,DC,WASHINGTON DISTRICT OFFICE,Washington
0358,PA,PITTSBURGH DISTRICT OFFICE,Pittsburgh
0373,MD,BALTIMORE  DISTRICT OFFICE,Baltimore
0390,WV,WEST VIRGINIA  DISTRICT OFFICE,West Virginia
0400,GA,ATLANTA   REGIONAL OFFICE,Georgia
0405,GA,GEORGIA  DISTRICT OFFICE,Georgia
0424,TN,MEMPHIS,Tennessee
0429,AL,BIRMINGHAM HOME LOAN SERVICE CENTER,Alabama
0433,FL,TAMPA,S Florida ??
0438,MS,GULFPORT,Mississippi
0440,KY,HAZARD LOWDOC PROCESSING CENTER,Kentucky
0446,TN,KNOXVILLE,Tennessee
0455,FL,SOUTH FLORIDA DISTRICT OFFICE,S Florida
0457,KY,KENTUCKY  DISTRICT OFFICE,Kentucky
0459,AL,ALABAMA  DISTRICT OFFICE,Alabama
0460,NC,NORTH CAROLINA  DISTRICT OFFICE,N Carolina
0464,SC,SOUTH CAROLINA DISTRICT OFFICE,S Carolina
0470,MS,MISSISSIPPI  DISTRICT OFFICE,Mississippi
0474,TN,TENNESSEE DISTRICT OFFICE,Tennessee
0491,FL,NORTH FLORIDA  DISTRICT OFFICE,N Florida
0498,Virgin Island,V. I. SERV. & LIQ.,PR & USVI
0500,IL,CHICAGO   REGIONAL OFFICE,Illinois
0507,IL,ILLINOIS  DISTRICT OFFICE,Illinois
0508,MN,MINNESOTA  DISTRICT OFFICE,Minnesota
0515,MI,MICHIGAN  DISTRICT OFFICE,Michigan
0517,IL,SPRINGFIELD BRANCH OFFICE,Illinois
0543,WI,WISCONSIN DISTRICT OFFICE,Wisconsin
0545,OH,CINCINNATI BRANCH OFFICE,Columbus
0547,MI,MARQUETTE BRANCH OFFICE,Michigan
0549,OH,CLEVELAND  DISTRICT OFFICE,Cleveland
0562,IN,INDIANA  DISTRICT OFFICE,Indiana
0563,WI,WISCONSIN DISTRICT OFFICE,Wisconsin
0593,OH,COLUMBUS  DISTRICT OFFICE,Columbus
0600,TX,DALLAS REGIONAL OFFICE,Dallas
0610,TX,DALLAS / FT WORTH  DISTRICT OFFICE,Dallas
0623,TX,FORT WORTH,Dallas
0626,AR,LITTLE ROCK COMMERCIAL LOAN SERVICING CENTER,Arkansas
0632,TX,EL PASO HOME LOAN SERVICE CENTER,El Paso
0637,TX,CORPUS CHRISTI BRANCH OFFICE,San Antonio
0639,TX,LOWER RIO GRANDE VALLEY  DISTRICT OFFICE,Lower Rio G V
0669,AR,ARKANSAS  DISTRICT OFFICE,Arkansas
0671,TX,HOUSTON  DISTRICT OFFICE,Houston
0677,TX,EL PASO  DISTRICT OFFICE,El Paso
0678,TX,LUBBOCK  DISTRICT OFFICE,Lubbock
0679,LA,LOUISIANA  DISTRICT OFFICE,Louisiana
0680,OK,OKLAHOMA DISTRICT OFFICE,Oklahoma
0681,TX,SAN ANTONIO DISTRICT OFFICE,San Antonio
0682,NM,NEW MEXICO  DISTRICT OFFICE,New Mexico
0692,TX,MARSHALL,Dallas
0700,MO,KANSAS CITY   REGIONAL OFFICE,Kansas City
0709,MO,KANSAS CITY  DISTRICT OFFICE,Kansas City
0721,MO,SPRINGFIELD BRANCH OFFICE,St. Louis
0722,MO,SIKESTON,St. Louis
0736,IA,CEDAR RAPIDS BRANCH OFFICE,Boise
0761,IA,DES MOINES  DISTRICT OFFICE,Des Moines
0766,NE,NEBRASKA  DISTRICT OFFICE,Nebraska
0767,KS,WICHITA DISTRICT OFFICE,Wichita
0768,MO,ST. LOUIS DISTRICT OFFICE,St. Louis
0800,CO,DENVER REGIONAL OFFICE,Colorado
0811,CO,COLORADO  DISTRICT OFFICE,Colorado
0875,ND,NORTH DAKOTA  DISTRICT OFFICE,N Dakota
0876,SD,SOUTH DAKOTA DISTRICT OFFICE,S Dakota
0883,UT,UTAH DISTRICT OFFICE,Utah
0885,MT,MONTANA  DISTRICT OFFICE,Montana
0897,WY,WYOMING DISTRICT OFFICE,Wyoming
0898,SD,RAPID CITY,S Dakota
0900,CA,SAN FRANCISCO   REGIONAL OFFICE,San Francisco
0912,CA,SAN FRANCISCO DISTRICT OFFICE,San Francisco
0914,CA,LOS ANGELES  DISTRICT OFFICE,Los Angeles
0920,CA,SANTA ANA DISTRICT OFFICE,Santa Ana
0924,CA,SACRAMENTO LOWDOC PROCESSING CENTER,Sacramento
0927,CA,SANTA ANA LOAN SERVICING & LIQUIDATION OFFICE,Santa Ana
0931,CA,SACRAMENTO DISTRICT OFFICE,Sacramento
0933,CA,SACRAMENTO LOAN PROCESSING CENTER,Sacramento
0942,CA,FRESNO  DISTRICT OFFICE,Sacramento
0944,NV,NEVADA  DISTRICT OFFICE,Nevada
0946,CA,SANTA ANA LOAN LIQUIDATION CENTER,Santa Ana
0951,HI,HAWAII  DISTRICT OFFICE,Hawaii
0954,CA,SAN DIEGO DISTRICT OFFICE,San Diego
0988,AZ,ARIZONA  DISTRICT OFFICE,Arizona
0992,CA,FRESNO COMMERCIAL LOAN SERVICING CENTER,Sacramento
0995,GU,GUAM BRANCH OFFICE,Hawaii ??
1000,WA,SEATTLE   REGIONAL OFFICE,Seattle
1013,WA,SEATTLE DISTRICT OFFICE,Seattle
1040,AK,FAIRBANKS,Alaska
1084,AK,ALASKA  DISTRICT OFFICE,Alaska
1086,OR,PORTLAND DISTRICT OFFICE,Portland
1087,ID,BOISE  DISTRICT OFFICE,Boise
1094,WA,SPOKANE BRANCH OFFICE,Seattle
